,Text,Character,season_no,episode_no,episode_name
489,How long will it hold?,,1,1,A Grain of Truth
490,As long as I hold.,,1,1,A Grain of Truth
491,[gasping],,1,1,A Grain of Truth
492,[sighs],,1,1,A Grain of Truth
493,[birdsong],,1,1,A Grain of Truth
494,[Geralt] You know what Vesemir would say.,,1,1,A Grain of Truth
495,Witchers shouldn't play,,1,1,A Grain of Truth
496,,,1,1,A Grain of Truth
497,We shouldn't try and uphold the law.,,1,1,A Grain of Truth
498,We don't show off.,,1,1,A Grain of Truth
499,"We get paid in coin."" 529;2212833,3334;2213708,3334;And he's right.""",,1,1,A Grain of Truth
500,[blows],,1,1,A Grain of Truth
501,Hm.,,1,1,A Grain of Truth
502,Want to hear about my first monster?,,1,1,A Grain of Truth
503,[snorts],,1,1,A Grain of Truth
504,Wasn't 50 miles outside of Kaer Morhen.,,1,1,A Grain of Truth
505,He was huge.,,1,1,A Grain of Truth
506,-Stinking. -[nickers],,1,1,A Grain of Truth
507,-Bald head. -[snorts],,1,1,A Grain of Truth
508,-Rotten teeth. -[blows],,1,1,A Grain of Truth
509,"He pulled that girl from the cart,",,1,1,A Grain of Truth
510,"tore her dress off in front of her father and said,",,1,1,A Grain of Truth
511,"It's time you met a real man.""""",,1,1,A Grain of Truth
512,I told him it was time he met one too.,,1,1,A Grain of Truth
513,It took two strikes to kill him.,,1,1,A Grain of Truth
514,They weren't clean.,,1,1,A Grain of Truth
515,But they were spectacular.,,1,1,A Grain of Truth
516,I turned to that girl afterwards.,,1,1,A Grain of Truth
517,She was drenched in the man's blood.,,1,1,A Grain of Truth
518,"She took one look at me,",,1,1,A Grain of Truth
519,"screamed, vomited,",,1,1,A Grain of Truth
520,and passed out.,,1,1,A Grain of Truth
521,[snorts],,1,1,A Grain of Truth
522,Yeah.,,1,1,A Grain of Truth
523,-I thought the world needed me too. -[nickering],,1,1,A Grain of Truth
524,[Renfri] Who were you talking to?,,1,1,A Grain of Truth
525,[sighs],,1,1,A Grain of Truth
526,I talk to my horse.,,1,1,A Grain of Truth
527,-That's sad. -Is it?,,1,1,A Grain of Truth
528,"Tell me, Witcher.",,1,1,A Grain of Truth
529,You don't believe in destiny,,1,1,A Grain of Truth
530,or the lesser evil.,,1,1,A Grain of Truth
531,What do you believe in?,,1,1,A Grain of Truth
532,You mean...,,1,1,A Grain of Truth
533,who do I believe.,,1,1,A Grain of Truth
534,I don't pick sides.,,1,1,A Grain of Truth
535,You just kill monsters.,,1,1,A Grain of Truth
536,I've made my decision.,,1,1,A Grain of Truth
537,You gave me an ultimatum and I find they work.,,1,1,A Grain of Truth
538,"Tomorrow, I'll leave Blaviken.",,1,1,A Grain of Truth
539,For good.,,1,1,A Grain of Truth
540,"My men, they love me and I love them.",,1,1,A Grain of Truth
541,But it's been a long time since someone saw me.,,1,1,A Grain of Truth
542,"When I was a girl,",,1,1,A Grain of Truth
543,my mother used to run her fingers...,,1,1,A Grain of Truth
544,over my forehead.,,1,1,A Grain of Truth
545,She'd say...,,1,1,A Grain of Truth
546,she'd give a lovely lintar...,,1,1,A Grain of Truth
547,to know the thoughts going around in there.,,1,1,A Grain of Truth
548,[soldier] Fire at will! Fire!,,1,1,A Grain of Truth
549,Bring more fire!,,1,1,A Grain of Truth
550,[cheering],,1,1,A Grain of Truth
551,"Your Majesty, the Nilfgaardians will breach the castle gates.",,1,1,A Grain of Truth
552,[Mousesack] Have breached.,,1,1,A Grain of Truth
553,"My powers could not hold them any longer, Your Majesty.",,1,1,A Grain of Truth
554,Now what? What do we do?,,1,1,A Grain of Truth
555,[Calanthe] Mousesack.,,1,1,A Grain of Truth
556,[breathing heavily],,1,1,A Grain of Truth
557,[whispers] He's in the gatekeep.,,1,1,A Grain of Truth
558,Destiny may yet side with us.,,1,1,A Grain of Truth
559,Danek.,,1,1,A Grain of Truth
560,It's time.,,1,1,A Grain of Truth
561,[army outside howling],,1,1,A Grain of Truth
562,What?,,1,1,A Grain of Truth
563,"Wait, where are you going?",,1,1,A Grain of Truth
564,"[Calanthe] Come here, child.",,1,1,A Grain of Truth
565,The gates are down!,,1,1,A Grain of Truth
566,Lesson number two.,,1,1,A Grain of Truth
567,Know when it's time to stop moving.,,1,1,A Grain of Truth
568,You're conceding.,,1,1,A Grain of Truth
569,Nilfgaard takes no prisoners.,,1,1,A Grain of Truth
570,"Which means that right now, my citizens are being tortured.",,1,1,A Grain of Truth
571,[screams],,1,1,A Grain of Truth
572,Their insides are being pulled to their outsides while they watch.,,1,1,A Grain of Truth
573,Their legs lit on fire.,,1,1,A Grain of Truth
574,Their tongues fed to the dogs.,,1,1,A Grain of Truth
575,Your Majesty.,,1,1,A Grain of Truth
576,-He's gone. -What?,,1,1,A Grain of Truth
577,"In the face of the inevitable, Cirilla,",,1,1,A Grain of Truth
578,good leaders should always choose mercy.,,1,1,A Grain of Truth
579,"In the future, you will be wise to do the same.",,1,1,A Grain of Truth
580,"Lazlo,",,1,1,A Grain of Truth
581,bring her cloak.,,1,1,A Grain of Truth
582,What? No.,,1,1,A Grain of Truth
583,Continue to be brave. Promise me.,,1,1,A Grain of Truth
584,You are the Lion Cub of Cintra.,,1,1,A Grain of Truth
585,-You are destined for great things. -I can't do this without you.,,1,1,A Grain of Truth
586,"We must go, Your Highness.",,1,1,A Grain of Truth
587,-[screams] No! -[roaring],,1,1,A Grain of Truth
588,[sighs],,1,1,A Grain of Truth
589,Go.,,1,1,A Grain of Truth
590,The world depends on it.,,1,1,A Grain of Truth
591,[battle raging outside],,1,1,A Grain of Truth
592,I love you.,,1,1,A Grain of Truth
593,Find Geralt of Rivia.,,1,1,A Grain of Truth
594,He is your destiny.,,1,1,A Grain of Truth
595,[sobs],,1,1,A Grain of Truth
596,Your Majesty.,,1,1,A Grain of Truth
597,I saw it too.,,1,1,A Grain of Truth
598,It is why they came.,,1,1,A Grain of Truth
599,I will deliver her.,,1,1,A Grain of Truth
600,I give you my word.,,1,1,A Grain of Truth
601,[gasping],,1,1,A Grain of Truth
602,Mousesack.,,1,1,A Grain of Truth
603,Your service...,,1,1,A Grain of Truth
604,has been an honor to us all.,,1,1,A Grain of Truth
605,As has yours.,,1,1,A Grain of Truth
606,Your Majesty.,,1,1,A Grain of Truth
607,"I'm sorry to disturb, my lady. It is time.",,1,1,A Grain of Truth
608,Nilfgaard is nigh.,,1,1,A Grain of Truth
609,It is time.,,1,1,A Grain of Truth
610,[locks door],,1,1,A Grain of Truth
611,We can leave.,,1,1,A Grain of Truth
612,We can find a way out.,,1,1,A Grain of Truth
613,This...,,1,1,A Grain of Truth
614,This is our way out.,,1,1,A Grain of Truth
615,"-What are you doing? -It's me, my son.",,1,1,A Grain of Truth
616,-What is this? -It's okay.,,1,1,A Grain of Truth
617,[whispers],,1,1,A Grain of Truth
618,Horses.,,1,1,A Grain of Truth
619,"Princess, come.",,1,1,A Grain of Truth
620,Hey!,,1,1,A Grain of Truth
621,-Keep going. -No!,,1,1,A Grain of Truth
622,"Princess, I gave your grandmother my word.",,1,1,A Grain of Truth
623,Allow me to keep it.,,1,1,A Grain of Truth
624,Go.,,1,1,A Grain of Truth
625,My grandmother said I had to leave.,,1,1,A Grain of Truth
626,Why? Why is Nilfgaard here?,,1,1,A Grain of Truth
627,"-Why does the world depend on it? -Hold on, Your Highness.",,1,1,A Grain of Truth
628,-[neighs] -Hyah!,,1,1,A Grain of Truth
629,[snorting],,1,1,A Grain of Truth
630,[Lazlo] We're getting close to the gate.,,1,1,A Grain of Truth
631,"I've been protected my whole life, Lazlo.",,1,1,A Grain of Truth
632,Why?,,1,1,A Grain of Truth
633,-[Ciri screams] -[neighs],,1,1,A Grain of Truth
634,[Renfri] You were in the market. Covered in blood.,,1,1,A Grain of Truth
635,"[echoing] You say you can't choose, but you had to.",,1,1,A Grain of Truth
636,And you'll never know if you were right.,,1,1,A Grain of Truth
637,Your reward will be a stoning.,,1,1,A Grain of Truth
638,And you will run.,,1,1,A Grain of Truth
639,"You will try to outrun the girl in the woods, but you cannot.",,1,1,A Grain of Truth
640,-She is your destiny. -Renfri!,,1,1,A Grain of Truth
641,The market.,,1,1,A Grain of Truth
642,[bleating],,1,1,A Grain of Truth
643,She knew you'd come.,,1,1,A Grain of Truth
644,Where's Renfri?,,1,1,A Grain of Truth
645,"She's at the tower with your little friend,",,1,1,A Grain of Truth
646,Marilka.,,1,1,A Grain of Truth
647,She gave us a message to pass on to you.,,1,1,A Grain of Truth
648,You have to choose the lesser evil.,,1,1,A Grain of Truth
649,It's an ultimatum.,,1,1,A Grain of Truth
650,[draws sword],,1,1,A Grain of Truth
651,Get it?,,1,1,A Grain of Truth
652,Fuck.,,1,1,A Grain of Truth
653,Hm.,,1,1,A Grain of Truth
654,[yelling],,1,1,A Grain of Truth
655,Witcher!,,1,1,A Grain of Truth
656,[Marilka] Geralt!,,1,1,A Grain of Truth
657,[screams] Geralt!,,1,1,A Grain of Truth
658,[sobs] No!,,1,1,A Grain of Truth
659,[sighs],,1,1,A Grain of Truth
660,-You chose. -Let the girl go.,,1,1,A Grain of Truth
661,I will kill her.,,1,1,A Grain of Truth
662,I will kill everyone here until Stregobor comes down.,,1,1,A Grain of Truth
663,Leave Blaviken.,,1,1,A Grain of Truth
664,It's not too late.,,1,1,A Grain of Truth
665,Magic doesn't work on me.,,1,1,A Grain of Truth
666,"Silver does, though.",,1,1,A Grain of Truth
667,Silver is for monsters.,,1,1,A Grain of Truth
668,-[grunts] -[screams],,1,1,A Grain of Truth
669,-If we cross swords... -I won't be able to stop.,,1,1,A Grain of Truth
670,They created me just as they created you.,,1,1,A Grain of Truth
671,We're not so different.,,1,1,A Grain of Truth
672,[groans],,1,1,A Grain of Truth
673,The girl in the woods will be with you always.,,1,1,A Grain of Truth
674,She is your destiny.,,1,1,A Grain of Truth
675,[screams],,1,1,A Grain of Truth
676,"Get-- get back here, you little--",,1,1,A Grain of Truth
677,-[screams] -[yells in pain],,1,1,A Grain of Truth
678,[rumbling],,1,1,A Grain of Truth
679,-[screams] -[yells in pain],,1,1,A Grain of Truth
680,[rumbling],,1,1,A Grain of Truth
681,[screaming],,1,1,A Grain of Truth
682,[gasping],,1,1,A Grain of Truth
683,[gasping] No. No!,,1,1,A Grain of Truth
684,Incredible.,,1,1,A Grain of Truth
685,[sighs],,1,1,A Grain of Truth
686,Marilka.,,1,1,A Grain of Truth
687,Marilka? Marilka!,,1,1,A Grain of Truth
688,Get me a cart.,,1,1,A Grain of Truth
689,We'll take her to the tower for an autopsy.,,1,1,A Grain of Truth
690,If you touch a single hair on her head...,,1,1,A Grain of Truth
691,yours will be on the ground next.,,1,1,A Grain of Truth
692,Have you gone mad?,,1,1,A Grain of Truth
693,"Her mutation,",,1,1,A Grain of Truth
694,it influences people.,,1,1,A Grain of Truth
695,That's how she got these men to follow her.,,1,1,A Grain of Truth
696,We need to take it.,,1,1,A Grain of Truth
697,"She got to you too, didn't she?",,1,1,A Grain of Truth
698,Do not...,,1,1,A Grain of Truth
699,touch her.,,1,1,A Grain of Truth
700,Witcher.,,1,1,A Grain of Truth
701,You butchered bodies in the streets of Blaviken.,,1,1,A Grain of Truth
702,-You're a beast! -You endangered the girl.,,1,1,A Grain of Truth
703,-[woman] Beast! -[man] He's killed every single...,,1,1,A Grain of Truth
704,-You took the law into your own hands. -[woman] Bastard!,,1,1,A Grain of Truth
705,-[crowd clamoring] -[woman] He's a bad one!,,1,1,A Grain of Truth
706,-[man] Get out of here! -[man 2] Get out and don't...,,1,1,A Grain of Truth
707,[woman] Go on! Butcher!,,1,1,A Grain of Truth
708,You made a choice.,,1,1,A Grain of Truth
709,And you'll never know if it was the right one.,,1,1,A Grain of Truth
710,"-Die, Witcher! -[clamoring]",,1,1,A Grain of Truth
711,"Die, Witcher!",,1,1,A Grain of Truth
712,"-Go, Witcher! -Die!",,1,1,A Grain of Truth
713,"Get out of Blaviken, Geralt.",,1,1,A Grain of Truth
714,Don't ever come back.,,1,1,A Grain of Truth
715,Bastard!,,1,1,A Grain of Truth
716,[yelling continues],,1,1,A Grain of Truth
717,[Renfri] The girl in the woods will be with you always.,,1,1,A Grain of Truth
718,She is your destiny.,,1,1,A Grain of Truth
